epoch,loss,val_loss
0,0.35802326228550396,-1.3600998939510192
1,-1.1865687862250858,-1.9938005051429264
2,-1.8232775808344386,-2.6999053746678952
3,-2.3105442422996294,-2.7396046189934355
4,-2.7286090647380372,-3.127530255749372
5,-2.9880252223747252,-2.9948425784195374
6,-3.1504539853569233,-3.1175210949781658
7,-3.2740772491576475,-3.2522923512215667
8,-3.3638489324382959,-3.3425524133053086
9,-3.4161940610685657,-3.1116449483103361
10,-3.4638559272165983,-3.1168626027102277
11,-3.5253366875767815,-3.3452525173588175
12,-3.5465992316957404,-3.4378498208386343
13,-3.5732672539721646,-3.4512258955392827
14,-3.5930458615500185,-3.3607988992665239
15,-3.6179390516847727,-3.3572690752368812
16,-3.6468663109782171,-3.4516347047565632
17,-3.6481411672443111,-3.5910229519180157
18,-3.6808201310020592,-3.5604081421811427
19,-3.6936607385314995,-3.3061425013547137
20,-3.7006541363742924,-3.412663428517956
21,-3.7054415477281295,-3.5809015736495544
22,-3.7242014384860176,-3.6095326986322789
23,-3.7419494000873836,-3.5665579050562259
24,-3.7499992817460566,-3.3805736016780603
25,-3.7590032648737344,-3.5784907916582092
26,-3.7724439705288582,-3.5660380314837883
27,-3.7822363445453799,-3.6763751400124889
28,-3.8043040911682944,-3.5902473522150555
29,-3.8018636939064554,-3.4079827413846751
30,-3.8192826533797892,-3.6535293299251244
31,-3.819157402245879,-3.6631641541757891
32,-3.8274496042512736,-3.4913075558228748
33,-3.8324222275278585,-3.6575362580623887
34,-3.8587609345166749,-3.6536084114574865
596s
