epoch,loss,val_loss
0,1.8896761826662742,0.28464685514945848
1,0.41119131125564001,-0.38429049464339382
2,-0.017010314230149589,-0.60324347406518153
3,-0.25611260537937025,-0.72219377304242405
4,-0.42770779631411993,-0.88142061448699727
5,-0.59392108992350545,-0.97484644354465633
6,-0.73201080076059377,-1.1191646699870967
7,-0.8596353718735108,-1.1870449441434674
8,-0.99045254346998657,-1.3180322423308335
9,-1.1055874201773124,-1.4036873445614151
10,-1.2275831183437953,-1.4195166339943124
11,-1.3034164542474118,-1.4050441115341461
12,-1.3835376887836091,-1.4993970815885798
13,-1.4670578577191697,-1.579009283320568
14,-1.5220488491956301,-1.5971242968356136
15,-1.5775208834964058,-1.5504016075753992
16,-1.6277685727906843,-1.5241786469621348
17,-1.6906131327586362,-1.6922102817989859
18,-1.7369445734165068,-1.7528562158453767
19,-1.7368067501396882,-1.7375567449989733
20,-1.7952835859249454,-1.8278503986041899
21,-1.8314611166419639,-1.790593858229985
22,-1.8631585515958271,-1.8932166194227198
23,-1.8872835926598099,-1.8273820128251499
24,-1.9162170483928673,-1.7916982475170591
25,-1.9407868326381195,-1.9231090821083703
26,-1.9640466491793513,-1.9660133110487075
27,-1.9771670685570069,-1.9839209701180027
28,-1.9965818043024539,-1.978349298346344
29,-2.0367278956967034,-1.995081374791555
30,-2.0650054291367557,-2.0081655574619557
31,-2.0620159048351119,-2.0024648952139845
32,-2.073662894105206,-2.0437474801652269
33,-2.0954175203269063,-2.0805864798893565
34,-2.1104771737835577,-1.9896567435901518
35,-2.1309222457319978,-2.0843428661676953
36,-2.1554040744114702,-2.0612741747487755
37,-2.1700317764408514,-2.1327090340831218
38,-2.1650933948107256,-2.1476885867893483
39,-2.1969397431623854,-2.132775378141162
40,-2.1901113463405792,-2.0520336757067739
41,-2.2061834303229304,-2.1831120911057673
42,-2.2389407719873327,-2.134349637083198
43,-2.2458453636194693,-2.2212976247394987
44,-2.2557039013026805,-2.2105893486243291
45,-2.277871073805136,-2.154936971216856
46,-2.2774922295770117,-2.1905869835120244
47,-2.29234347525508,-2.2629710793064821
48,-2.3025203661475584,-2.1859922391843281
49,-2.3109990154452418,-2.2782488643907897
50,-2.3146866084565865,-2.1223333949216436
51,-2.3452017838211412,-2.3502948981329852
52,-2.3585107012895841,-2.3410560258459099
53,-2.3433329440247168,-2.3197535211859197
54,-2.3698676793261151,-2.2348748553100477
55,-2.3789581158544757,-2.3420841616413655
56,-2.3771086504222065,-2.4000310665433586
57,-2.4037209486914008,-2.4026619475671098
58,-2.3945549192662221,-2.3727955258710289
59,-2.3972541083565506,-2.3766975273724498
60,-2.402106390597146,-2.3904341429149203
61,-2.4436393359775077,-2.3611691049720407
62,-2.4508319668779306,-2.3820191247368547
63,-2.4542682410812464,-2.2391395413918618
64,-2.4499340879025246,-2.4483258336890046
65,-2.4758708768005642,-2.4330918616766533
66,-2.48875052385366,-2.4641528207042156
67,-2.4891744445054846,-2.446582634096111
68,-2.4772312195457338,-2.4563546249582449
69,-2.494039586536986,-2.4769515560852491
70,-2.5047460306403759,-2.4487549260204879
71,-2.5120165018655429,-2.4786984894680204
72,-2.4998945746298684,-2.4994156197090009
73,-2.5306847567485673,-2.471884936632232
74,-2.5305224015891117,-2.5002332887064247
75,-2.5415647134589348,-2.497306079210357
76,-2.5366369248278433,-2.4917350985943627
77,-2.5618935665319205,-2.5420203148673157
78,-2.5287779086842703,-2.5059473626450082
79,-2.5666035340601074,-2.5617260640278618
80,-2.5477513037251995,-2.5488027725839442
81,-2.5657404777730597,-2.4727768071722038
82,-2.5581331299356846,-2.4884828910070205
83,-2.5810411623102549,-2.5551830327898157
84,-2.5899988898797375,-2.5523771783505107
85,-2.6001867009324759,-2.5206654183701058
86,-2.586023408196878,-2.5732212281829612
87,-2.6104587767198368,-2.5753652369502649
88,-2.6065618182038977,-2.5867587005188319
89,-2.6042205293403242,-2.5462702258829606
90,-2.620215855037316,-2.4506416940516944
91,-2.6273035126999496,-2.6097024442486814
92,-2.6216240195453469,-2.5777110511215153
93,-2.6420054157373265,-2.4261457928681631
94,-2.6313281030324456,-2.5619346389701652
95,-2.6392539297342563,-2.5752725231088025
96,-2.6361564891645122,-2.5978548500942411
97,-2.6641833601185252,-2.5101124465680726
98,-2.6349855321207678,-2.600738215532544
1019s
